,examples,intents
0,Привет честной компании,hello
1,Нихао,hello
2,Привет машина,hello
3,Хеллоу,hello
4,Вопрос. Сколько стоит обучение?,hello
5,Здравия желаю,hello
6,Приветствую Вас,hello
7,алоха,hello
8,Привяу,hello
9,Дратути,hello
10,Приветули,hello
11,Приветствую!,hello
12,рад видеть снова,hello
13,приятно видеть тебя снова,hello
14,Доброе утро,hello
15,привет,hello
16,Сколько лет сколько зим,hello
17,Хэллоу,hello
18,Здравствуйте,hello
19,Hi,hello
20,Хэлоу,hello
21,Приветухи,hello
22,Добрый день!,hello
23,"Здорово, чурбан электронный",hello
24,hi,hello
25,Рад приветствовать Вас,hello
26,салют,hello
27,Добрый вечер,hello
28,Чё кого,hello
29,Даров,hello
30,Hello,hello
31,Hola,hello
32,Дозвольте приветствовать Вас,hello
33,Привет,hello
34,Вечер в хату,hello
35,Приветствую вас,hello
36,Какие люди,hello
37,гутентаг,hello
38,здарямба,hello
39,Доброго времени суток!,hello
40,здорова,hello
41,Эрик?,hello
42,Доброго здравия,hello
43,хай,hello
44,Приветики,hello
45,салям,hello
46,Бонжур,hello
47,Бодрого утречка,hello
48,Салют!Здоровеньки булы,hello
49,А что мы тут делаем,hello
50,Доброго утра,hello
51,Доброй ночи,hello
52,здрасьте,hello
53,простоздравствуй,hello
54,Дороу,hello
55,Салям Алейкум,hello
56,моё почтение,hello
57,здравствуйте,hello
58,Здорово,hello
59,хело,hello
60,Доброго здоровья,hello
61,Срочно нужна помощь!,hello
62,Доброго времени суток,hello
63,Хело,hello
64,Приятный день,hello
65,Чао,hello
66,шелом,hello
67,Здрасьте,hello
68,Hi there,hello
69,приветули,hello
70,"Привет, бро",hello
71,здоровеньки,hello
72,Прет,hello
73,Ghbdtn,hello
74,Салам пополам,hello
75,здарова,hello
76,"Здарова, шо там?",hello
77,Дарова,hello
78,"Але,а кто это?",hello
79,прив,hello
80,"Беригите печень, никто не вечен",hello
81,Добрый день,hello
82,Кукусики,hello
83,хеллоу,hello
84,Good afternooт,hello
85,доброеутро,hello
86,Доброе время суток,hello
87,Мир вам,hello
88,Сердечный привет вам,hello
89,Хэлло,hello
90,Здоров,hello
91,как дела?,hello
92,Да здравствует Бог-Император Человечества,hello
93,коничива,hello
94,вечер в хату,hello
95,Алло,hello
96,Доброго вечера,hello
97,Салютик,hello
98,Как дела?,hello
99,ку,hello
100,Трям,hello
101,Доброго дня,hello
102,Эй,hello
103,Че как,hello
104,шалом,hello
105,прием,hello
106,Йоу,hello
107,бонжур,hello
108,етйувтсвардз,hello
109,Здоровеньки булы,hello
110,салам,hello
111,Салам,hello
112,доброевремясуток,hello
113,доброго времени суток,hello
114,Хелло,hello
115,доброе утро,hello
116,Здравствуйте!,hello
117,"Привет, железяка",hello
118,добрыйдень,hello
119,здасти,hello
120,Приветик,hello
121,Приятный вечер,hello
122,добрыйвечер,hello
123,ку-ку,hello
124,Рад вас видеть,hello
125,Какая встреча,hello
126,Здравствуй,hello
127,))),hello
128,Наше вам с кисточкой,hello
129,Ваззап,hello
130,Здрям,hello
131,Мир вашему дому,hello
132,Здорово чувак,hello
133,тевирп,hello
134,Здарова,hello
135,С добрым вечером,hello
136,Хаю-Хай,hello
137,Ку,hello
138,Как дела,hello
139,Хай,hello
140,Тут бот или человек?,hello
141,приветик,hello
142,Утра,hello
143,Салют,hello
144,Привет. Есть тут кто?,hello
145,рад видеть тебя снова,hello
146,Гутен морген,hello
147,Шалом,hello
148,авемария,hello
149,ассалам алейкум,hello
150,Я пришел с миром,hello
151,Разрешите Вас приветствовать,hello
152,Дароу,hello
153,хей,hello
154,hello,hello
155,трям,hello
156,Shalom,hello
157,С добрым утром,hello
158,Рад вам,hello
159,Всем доброго дня,hello
160,Однако здравствуйте,hello
161,Рад Вас видеть,hello
162,Wats's up,hello
163,нихао,hello
164,Рад вас приветствовать,hello
165,Сап,hello
166,рад встрече,hello
167,qq,hello
168,Приветствую,hello
169,Благословенен будь твой день,hello
170,Тысячу лет вас не видел,hello
171,Здарова!,hello
172,Здаров,hello
173,добрый день,hello
174,Сердечно рад вам,hello
175,Хей,hello
176,Чё как?,hello
177,Здр,hello
178,добрый вечер,hello
179,Наконец-то дозвонился!,hello
180,приветствую,hello
181,Хаюшки,hello
182,салам алейкум,hello
183,Прива,hello
184,Bye,bye
185,удались,bye
186,покедова,bye
187,адиос,bye
188,"Всё, будь здоров",bye
189,акоп,bye
190,Давай,bye
191,На созвоне,bye
192,Всего наилучшего!,bye
193,ауфидерзейн,bye
194,пока,bye
195,Досвидули,bye
196,довстречи,bye
197,аливидерчи,bye
198,"все, хватит",bye
199,ушел,bye
200,Закончили,bye
201,отбой,bye
202,Увидимся,bye
203,До свидания,bye
204,Adios,bye
205,до скорого,bye
206,Прощайте,bye
207,до свидания,bye
208,Не обсуждается,bye
209,аривидерчи,bye
210,бывай,bye
211,Пакедова,bye
212,Всех благ,bye
213,Бывай,bye
214,"Давай, пока",bye
215,Всего доброго,bye
216,Будьте здоровы,bye
217,До следующего..,bye
218,сдохни,bye
219,счастливо,bye
220,Споки Ноки,bye
221,До скорого!,bye
222,Покедава,bye
223,"Асталависта, Бэйби!",bye
224,Пока,bye
225,"Прощевайте, панове",bye
226,Всего хорошего,bye
227,покеда,bye
228,до завтра,bye
229,Что делать,bye
230,байбай,bye
231,good bye,bye
232,испарился,bye
233,See ya,bye
234,Счастливо оставаться,bye
235,Прощай,bye
236,До скорого,bye
237,goodbye,bye
238,Чао,bye
239,Доскорой встречи,bye
240,До завтра,bye
241,прощайте,bye
242,До следующей встречи,bye
243,Скоро увидимся,bye
244,Аривидерчи,bye
245,Не скучай,bye
246,exit,bye
247,До связи,bye
248,Всего наилучшего,bye
249,отвали,bye
250,Береги себя,bye
251,прощай,bye
252,все,bye
253,Да пребудет с тобой Сила,bye
254,бай,bye
255,Бай,bye
256,До скорой встречи!,bye
257,пакеда,bye
258,будь,bye
259,гуд бай,bye
260,изыйди,bye
261,Чем заняться,bye
262,До вечера,bye
263,Покедова,bye
264,"Ладно, я пошёл",bye
265,выход,bye
266,Ай эм бэк,bye
267,досвидания,bye
268,Выход,bye
269,Счастливо,bye
270,свали,bye
271,"Я ухожу, пока",bye
272,аревуар,bye
273,умри,bye
274,Ещё увидимся,bye
275,Не болей,bye
276,Покедули,bye
277,Пока-пока,bye
278,До утра,bye
279,Не грусти без меня,bye
280,исчезни,bye
281,до встречи,bye
282,Good bye,bye
283,чао,bye
284,оревуар,bye
285,асталависта,bye
286,До встречи,bye
287,"Ну, бывай",bye
288,чао-какао,bye
289,bye-bye,bye
290,Пака,bye
291,бб,bye
292,Покеда,bye
293,увидимся,bye
294,абьенто,bye
295,До скорой встречи,bye
296,удачи,bye
297,Хао,bye
298,Bye-bye,bye
299,Вы оказались бесполезны,bye
300,Досвидания,bye
301,доскорого,bye
302,Не поминайте лихом,bye
303,я пошел,bye
304,пока-пока,bye
305,До новых встреч,bye
306,Досвидос,bye
307,Покасики,bye
308,bb,bye
309,скройся,bye
310,скрылся,bye
311,Спасибо,bye
312,всего хорошего,bye
313,адьос,bye
314,Удачи,bye
315,bye,bye
316,Лан пока,bye
317,Good Bye,bye
318,до связи,bye
319,гудбай,bye
320,Вазап,how_are_you56234
321,Как сам,how_are_you56234
322,Как дела,how_are_you56234
323,Че каво,how_are_you56234
324,Как день,how_your_day89347
325,Какие новости,how_your_day89347
326,Как прошел день,how_your_day89347
327,Что ты чуствуешь,how_are_you_feeling74447
328,Ты можешь думать,how_are_you_feeling74447
329,Давай поиграем,do_you_want_play8679435
330,Поиграем,do_you_want_play8679435
331,Давай сыграем,do_you_want_play8679435
332,Сыграем,do_you_want_play8679435
333,Играть,do_you_want_play8679435
334,Секрет-ббб,code_phrase978457
335,Секрет-ааа,code_phrase978457
336,Твое имя,names
337,Как тебя зовут,names
338,Чё как,mood
339,Какое у тебя настроение,mood
340,Какое у тебя сейчас настроение,mood
341,Ты как,mood
342,Как бодрость духа?,mood
343,Как дела?,mood
344,Как твое ничего?,mood
345,Как твои дела,mood
346,как настроение,mood
347,Как оно,mood
348,Как самочувствие,mood
349,Как ты,mood
350,Как настроение?,mood
351,Как настроение,mood
352,Как ты поживаешь,mood
353,Как ты сегодня?,mood
354,Что по настрение,mood
355,Как жизнь,mood
356,Как у тебя дела,mood
357,Как ваши дела,mood
358,Как дела,mood
359,Ты любишь читать,books
360,Какая твоя любимая книга,books
361,Какие фильмы ты смотрел,films
362,Какие фильмы посоветуешь сегодня посмотреть,films
363,Что посмотреть на выходных,films
364,Посоветуй кино,films
365,Посоветуй фильм,films
366,"Есть ли хороший фильм, который я не видел",films
367,Какой фильм посмотреть,films
368,Посоветуй что посмотреть,films
369,Какой твой любимый сериал,films
370,Ищу фильм на вечер,films
371,Порекомендуй фильм,films
372,Какой фильм последний фильм посмотрел,films
373,Любимый фильм,films
374,Ты любишь смотреть фильмы,films
375,Пошути,humor
376,Расскажи анекдот,humor
377,Анекдот,humor
378,Расскажи что то веселое,humor
379,Развесели меня,humor
380,Давай позабавимся,humor
381,Расскажи шутку,humor
382,Рассмеши меня,humor
383,Сколько стоит,ask price
384,За что отдашь,ask price
385,Почём,ask price
386,Позовите администратора,operator request
387,Дайте человека,operator request
388,Заколебал,operator request
389,Ты тупой бот,operator request
390,Бездушная ты машина,operator request
391,Как звать,name request
392,Ты кто,name request
393,Как тебя зовут,name request
394,Как пользоваться,options request
395,Помощь,options request
396,Что умеешь,options request
397,Как самочувствие?,problem
398,Как настроение?,problem
399,Как дела?,problem
400,Как ты?,problem
401,Или ты любишь фильмы?,hobby
402,Ты читаешь книги?,hobby
403,Ты слушаешь музыку?,hobby
404,Руки Вверх,singer
405,Ты Бузова?,singer
406,Сектор Газа,singer
407,Артур Пирожков,singer
408,Где тут улица Красных фонарей?,attractions
409,Как пройти в библиотеку?,attractions
410,Питер далеко от Москвы?,attractions
411,расскажи,stories
412,Расскажи анекдот,stories
413,Спой,stories
414,А сказки ты знаешь?,stories
415,расскажи историю,stories
416,расскажи что-нибудь,stories
417,какой рост был у Наполеона,napoleon
418,рост Наполеона,napoleon
419,какого роста Наполеон Бонапарт,napoleon
420,как зовут Снуп Дога,snoop_dog
421,какое настоящее имя Снуп Дога,snoop_dog
422,реальное имя Snoop Dogg,snoop_dog
423,почему хот-дог так называется,hot_dog
424,откуда взялось название хот-дог,hot_dog
425,когда родился Путин,putin
426,когда день рождения у Владимира Путина,putin
427,из скольки серий состоит Санта Барбара,santa_barbara
428,сколько серий в сериале Санта Барбара,santa_barbara
429,Как твое имя,bot_name
430,как к тебе обращаться,bot_name
431,Как тебя зовут,bot_name
432,что ты можешь,what_cen_you_do
433,для чего ты,what_cen_you_do
434,что ты умеешь,what_cen_you_do
435,сенкью,thanks
436,Очень благодарен,thanks
437,Спс,thanks
438,Благодарствую,thanks
439,Я признательно благодарен,thanks
440,Спасибо!,thanks
441,Мерси,thanks
442,Благодарю,thanks
443,спасибо,thanks
444,Премного благодарен,thanks
445,Спасибо,thanks
446,грациас,thanks
447,Грациас,thanks
448,благодарю,thanks
449,Сябы,thanks
450,большое спасибо,thanks
451,"понял, спасибо",thanks
452,спс,thanks
453,Хорошо,thanks
454,Спасибо от всей души!,thanks
455,"хорошо, спасибо",thanks
456,ты можешь помочь,help_me
457,Помоги мне,help_me
458,помоги,help_me
459,нужна помощь,help_me
460,хелп ми,help_me
461,ты мне не помог,not_that
462,я имел ввиду другое,not_that
463,Это не то что я хотел,not_that
464,я спрашивал о другом,not_that
465,how are you,how_are_you
466,как дела,how_are_you
467,whats up,how_are_you
468,how are you doing,how_are_you
469,а ты как,how_are_you
470,как оно,how_are_you
471,как ты себя чувствуешь,how_are_you
472,как твои дела,how_are_you
473,Как дела,how_are_you
474,как ты,how_are_you
475,как поживаешь,how_are_you
476,классно,feedback_good
477,норм,feedback_good
478,здорово,feedback_good
479,кайф,feedback_good
480,тоже,feedback_good
481,хорошо,feedback_good
482,супер,feedback_good
483,с пивком покатит,feedback_good
484,нормально,feedback_good
485,тоска,feedback_bad
486,грустно,feedback_bad
487,ужасно,feedback_bad
488,не очень,feedback_bad
489,отвратительно,feedback_bad
490,никак,feedback_bad
491,плохо,feedback_bad
492,спать,actions
493,поплавать,actions
494,побегать,actions
495,поиграть,actions
496,сходить в поход,actions
497,кушать,actions
498,поесть,actions
499,написать письмо,actions
500,чтение,hobbies
501,еда,hobbies
502,спорт,hobbies
503,рисование,hobbies
504,игры,hobbies
505,музыка,hobbies
506,вышивка,hobbies
507,прогулки,hobbies
508,просмотр кино,hobbies
509,поход в кино,hobbies
510,шитье,hobbies
511,сон,hobbies
512,расскажи о своих хобби,hobbies
513,видеоигры,hobbies
514,Чем ты занимаешь в свободное время,hobbies
515,У тебя есть любимые занятия,hobbies
516,выход,exits
517,exit,exits
518,что ты можешь,abilities
519,покажи что умеешь,abilities
520,покажи свои возможности,abilities
521,что ты умеешь,abilities
522,Пошути,jokes
523,Дурачок,jokes
524,Бот пошути,jokes
525,Расскажи анекдот,jokes
526,Полупокер,jokes
527,Расскажи прикол,jokes
528,Подними мне настроение,jokes
529,Анекдот,jokes
530,расскажи анекдот,jokes
531,Шутка,jokes
532,расскажи шутку,jokes
533,хочу смеяться,jokes
534,Скажи что-нибудь смешное,jokes
535,Скажи шутку,jokes
536,Расскажи что-нибудь смешное,jokes
537,Ты петух?,jokes
538,Расскажи шутку,jokes
539,Рассмеши меня,jokes
540,Как настроение,comity
541,Как здоровье,comity
542,Как жизнь,comity
543,Как дела,comity
544,Как самочувствие,comity
545,Как ты,comity
546,Скажи что-нибудь,indetermine
547,Поговорим,indetermine
548,Поболтаем,indetermine
549,Что скажешь,indetermine
550,Рассказывай,indetermine
551,Что происходит,news
552,Что слышно,news
553,Что новенького,news
554,Новости,news
555,Ты любишь киберспорт,games
556,Ты любишь баскетбол,games
557,Может поиграем,games
558,во что играешь,games
559,Нравятся игры,games
560,Давай поиграем,games
561,Поиграем,games
562,Поиграем во что-нибудь,games
563,Играть любишь,games
564,ты любишь теннис,games
565,Ты любишь футбол,games
566,часто играешь,games
567,Сыграем,games
568,Играешь,games
569,Хочешь поиграть,games
570,Ты любишь хоккей,games
571,Давай сыграем в игру,games
572,Поиграть хочешь,games
573,Играешь в игры,games
574,Я хочу получить скидку,discount
575,Скидка,discount
576,Сколько можете уступить,discount
577,А скидки есть,discount
578,Как закрыть аккаунт и удалить все данные,сlosing_account
579,Закрыть учётную запись,сlosing_account
580,Как закрыть учётную запись,сlosing_account
581,Удалить аккаунт,сlosing_account
582,Как закрыть учётку,сlosing_account
583,Как отключить учётную запись,сlosing_account
584,Как погода?,weather
585,Что за окном,weather
586,Как погода,weather
587,Какая погода,weather
588,Там холодно,weather
589,Как погодка,weather
590,Сегодня тепло,weather
591,Какая сегодня погода?,weather
592,Какое время года ты любишь,weather
593,Где узнать погоду,weather
594,подскажите погоду,weather
595,Какая сегодня температура,weather
596,Прогноз погоды,weather
597,Какая сегодня темпераутра,weather
598,расскажи о погоде,weather
599,Что ты думаешь о погоде,weather
600,Холодрыга какая,weather
601,Сегодня холодно?,weather
602,какая сейчас погода,weather
603,Погодные условия,weather
604,Идет ли сейчас дождь,weather
605,Погода,weather
606,погода,weather
607,Будет дождь,weather
608,Погода на завтра,weather
609,Там тепло,weather
610,какая погода,weather
611,Сегодня холодно или жарко,weather
612,Что за окном?,weather
613,Какая сегодня погода,weather
614,Погода в моём городе,weather
615,It is a Beautiful day for a walk?,weather
616,Какая температура,weather
617,Что сегодня с погодой,weather
618,Какая сейчас погода,weather
619,Идет дождь?,weather
620,Как сейчас на улице,weather
621,Какая погода на улице,weather
622,what`s the weather like today?,weather
623,Сейчас холодно?,weather
624,Сколько сегодня градусов,weather
625,Сколько градусов на улице,weather
626,погода на завтра,weather
627,Какая погода?,weather
628,Что за бортом,weather
629,What`s it like outside?,weather
630,Сейчас тепло?,weather
631,Что на улице,weather
632,Как там на улице,weather
633,Что по погоде,weather
634,У тебя есть домашний питомец,pet
635,У тебя есть домашнее животное,pet
636,У тебя есть питомец,pet
637,Какое у тебя домашнее животное,pet
638,Посмотреть фильм,film
639,Какое кино посмотреть,film
640,Посоветуйте кино,film
641,Что посмотреть,film
642,Интересный фильм,film
643,Посоветуйте фильм,film
644,Какой фильм посмотреть,film
645,Хочу в кино,film
646,Кто ты?,name_questions
647,Мы знакомы?,name_questions
648,У тебя есь имя?,name_questions
649,Давай познакомимся,name_questions
650,Как тебя зовут,name_questions
651,Ты умеешь говорить?,can_questions
652,Что ты умеешь,can_questions
653,Зачем ты здесь?,todo_questions
654,Ты хочешь поговорить?,todo_questions
655,Кто тебя написал,whos_questions
656,Чей ты?,whos_questions
657,Кто тебя создал?,whos_questions
658,ты глупый,bad_questions
659,Ты тупой,bad_questions
660,Больше ничего не умеешь?,bad_questions
661,Как улучшить настроение,mood_questions
662,Мне грустно,mood_questions
663,Как поднять настроение,mood_questions
664,Мне скучно,mood_questions
665,Какие языки ты знаешь,lang_questions
666,Ты говоришь только по-русски,lang_questions
667,На каких языках ты говоришь,lang_questions
668,Как жизнь?,whatsup
669,Как оно?,whatsup
670,Как сам,whatsup
671,Чо как?,whatsup
672,Как дела?,whatsup
673,Как настроение,whatsup
674,Что нового,whatsup
675,Как жизнь,whatsup
676,Че как,whatsup
677,Как поживаешь?,whatsup
678,Все хорошо?,whatsup
679,Как дела,whatsup
680,Как сам?,whatsup
681,Как ты,whatsup
682,Как поживаешь,whatsup
683,Любишь музыку?,music
684,Что слушаешь,music
685,Что слушаешь?,music
686,Какую музыку мне послушать,music
687,Порекомендуй что послушать,music
688,Какая музыка тебе нравится,music
689,Какая музыка сейчас популярна,music
690,Какую музыку слушаешь,music
691,Какая музыка нравится?,music
692,Что мне послушать,music
693,Что можно послушать из музыки,music
694,Какая тебе нравится музыка?,music
695,Какая музыка нравится,music
696,Какую любишь музыку,music
697,Какой лучший подарок,gifts
698,Что подарить на новый год,gifts
699,Помоги выбрать подарок другу,gifts
700,Какой выбрать подарок,gifts
701,Геленджик,cities
702,Новокузнецк,cities
703,Пенза,cities
704,Ставрополь,cities
705,Элиста,cities
706,Долгопрудный,cities
707,Вологда,cities
708,Краснокамск,cities
709,Россошь,cities
710,Балашиха,cities
711,Брянск,cities
712,Когалым,cities
713,Лениногорск,cities
714,Курск,cities
715,Керчь,cities
716,Ульяновск,cities
717,Краснотурьинск,cities
718,Казань,cities
719,Великий Новгород,cities
720,Жуковский,cities
721,Щекино,cities
722,Димитровград,cities
723,Рославль,cities
724,Апатиты,cities
725,Ханты-Мансийск,cities
726,Троицк,cities
727,Кстово,cities
728,Клин,cities
729,Клинцы,cities
730,Йошкар-Ола,cities
731,Тверь,cities
732,Кострома,cities
733,Белово,cities
734,Ухта,cities
735,Юрга,cities
736,Бор,cities
737,Северск,cities
738,Сызрань,cities
739,Лобня,cities
740,Мелеуз,cities
741,Севастополь,cities
742,Тихвин,cities
743,Азов,cities
744,Шали,cities
745,Гуково,cities
746,Черкесск,cities
747,Белебей,cities
748,Нижний Новгород,cities
749,Самара,cities
750,Стерлитамак,cities
751,Минусинск,cities
752,Старица,cities
753,Междуреченск,cities
754,Ейск,cities
755,Каспийск,cities
756,Ногинск,cities
757,Ростов-на-Дону,cities
758,Наро-Фоминск,cities
759,Сосновый Бор,cities
760,Новомосковск,cities
761,Нижнекамск,cities
762,Зеленодольск,cities
763,Краснокаменск,cities
764,Чапаевск,cities
765,Сертолово,cities
766,Солнечногорск,cities
767,Назрань,cities
768,Норильск,cities
769,Муром,cities
770,Воронеж,cities
771,Махачкала,cities
772,Кирово-Чепецк,cities
773,Лесосибирск,cities
774,Лыткарино,cities
775,Искитим,cities
776,Омск,cities
777,Альметьевск,cities
778,Уфа,cities
779,Салават,cities
780,Сарапул,cities
781,Армавир,cities
782,Липецк,cities
783,Нефтекамск,cities
784,Выкса,cities
785,Пермь,cities
786,Одинцово,cities
787,Чистополь,cities
788,Красногорск,cities
789,Соликамск,cities
790,Хабаровск,cities
791,Глазов,cities
792,Рубцовск,cities
793,Ялта,cities
794,Находка,cities
795,Каменск-Шахтинский,cities
796,Георгиевск,cities
797,Улан-Удэ,cities
798,Ижевск,cities
799,Ишимбай,cities
800,Волжский,cities
801,Вязьма,cities
802,Назарово,cities
803,Королев,cities
804,Калуга,cities
805,Вольск,cities
806,Кызыл,cities
807,Нижневартовск,cities
808,Каменск-Уральский,cities
809,Новошахтинск,cities
810,Хасавюрт,cities
811,Саранск,cities
812,Балашов,cities
813,Псков,cities
814,Гудермес,cities
815,Сальск,cities
816,Новокуйбышевск,cities
817,Евпатория,cities
818,Березовский (Свердловская область),cities
819,Арсеньев,cities
820,Орел,cities
821,Михайловка,cities
822,Обнинск,cities
823,Нерюнгри,cities
824,Архангельск,cities
825,Батайск,cities
826,Заречный,cities
827,Петропавловск-Камчатский,cities
828,Первоуральск,cities
829,Крымск,cities
830,Анапа,cities
831,Алексин,cities
832,Ступино,cities
833,Белореченск,cities
834,Киров,cities
835,Славянск-на-Кубани,cities
836,Сыктывкар,cities
837,Мичуринск,cities
838,Дербент,cities
839,Киселевск,cities
840,Чита,cities
841,Новоалтайск,cities
842,Анжеро-Судженск,cities
843,Бийск,cities
844,Грозный,cities
845,Прокопьевск,cities
846,Чехов,cities
847,Кузнецк,cities
848,Чебоксары,cities
849,Владимир,cities
850,Южно-Сахалинск,cities
